gio_hoc_moi_tuan,diem_dau_vao,diem_trung_binh_truoc,tham_gia_ngoai_khoa,gio_giai_tri,lam_them,khoang_cach_den_truong,gpa
29,7.89,5.87,0,14,1,28,5.0
23,7.04,6.57,0,21,1,8,5.0
31,6.69,6.55,0,20,0,4,5.0
40,8.23,6.53,1,14,0,10,5.77
22,8.74,7.35,1,37,1,6,5.0
22,8.62,7.91,0,25,0,7,6.18
40,6.49,8.83,0,3,0,28,5.35
32,7.13,7.22,1,21,0,4,5.0
20,7.9,7.54,1,14,1,32,5.45
30,8.67,7.42,0,26,1,23,5.56
20,6.92,5.58,1,13,0,2,5.0
20,7.28,7.06,1,19,0,1,5.13
27,6.17,6.81,1,24,1,1,5.0
5,6.06,8.82,0,26,1,1,5.0
7,8.48,7.24,0,10,0,1,5.0
19,9.13,7.95,1,17,0,11,5.32
14,7.41,7.09,0,16,1,1,5.0
28,8.7,6.28,1,14,1,3,5.08
15,7.93,8.48,1,34,1,18,5.0
10,6.73,7.71,0,23,1,1,5.0
39,7.93,8.11,0,9,0,16,6.01
22,9.35,6.75,0,27,0,3,5.0
25,7.46,8.61,0,36,1,1,5.0
10,9.38,6.31,1,28,1,11,5.0
19,5.0,7.02,1,7,1,9,5.0
26,8.49,9.55,1,16,1,20,5.86
13,7.6,6.14,1,30,0,13,5.0
28,7.14,6.45,1,14,0,16,5.0
18,7.61,7.29,0,23,1,3,5.0
22,5.11,5.91,1,26,1,1,5.0
18,7.24,5.67,0,12,1,13,5.0
43,7.93,7.35,0,19,1,16,5.43
24,9.27,6.57,0,0,1,46,5.13
14,6.88,7.46,1,11,0,5,5.38
33,6.53,5.89,1,17,0,4,5.02
12,6.9,8.6,1,10,0,14,5.03
27,8.6,6.66,1,33,0,4,5.15
5,7.89,6.93,0,8,0,26,5.0
11,6.86,7.81,1,16,0,19,5.0
26,8.12,6.04,1,21,0,5,5.0
32,7.62,7.42,0,31,0,13,5.28
26,8.66,8.87,1,8,0,14,5.74
23,6.66,5.5,0,29,0,1,5.0
21,7.11,7.23,0,20,0,23,5.27
10,7.03,7.28,0,12,1,7,5.0
17,5.74,7.44,1,23,0,17,5.0
20,7.86,5.96,1,21,0,3,5.0
35,7.81,5.86,0,15,0,22,5.0
28,7.51,7.7,1,20,1,4,5.37
7,7.22,7.38,0,16,0,1,5.0
