gio_hoc_moi_tuan,diem_dau_vao,diem_trung_binh_truoc,tham_gia_ngoai_khoa,gio_giai_tri,lam_them,khoang_cach_den_truong,chat_luong_giac_ngu,so_lan_vang_mat,gpa
20,9.61,7.34,1,4,0,45,6.15,5,4.73
21,9.01,6.94,1,27,0,19,5.38,6,4.54
40,9.37,8.07,1,15,0,11,2.21,6,4.09
31,9.99,7.89,1,9,0,6,2.59,4,5.89
12,9.72,7.08,1,27,0,39,8.8,5,2.29
12,1.0,3.7,0,36,0,14,4.76,5,1.95
8,7.55,6.67,1,19,0,34,5.67,7,5.02
32,8.19,7.35,0,46,1,27,5.5,7,5.43
28,8.46,5.35,1,22,0,34,5.06,5,4.87
36,1.62,1.0,0,46,0,2,10.0,5,0.0
20,9.77,6.43,1,24,0,32,6.03,8,3.86
50,1.0,2.12,0,11,0,5,3.97,8,3.7
39,10.0,8.58,1,28,1,6,8.75,3,6.37
6,1.74,1.0,0,8,1,20,4.61,6,0.0
9,9.73,9.43,1,16,1,18,5.83,5,4.55
8,1.0,2.77,0,16,1,17,5.26,9,3.89
32,6.19,7.07,1,29,0,6,8.77,2,3.8
26,7.63,5.69,1,17,0,3,4.88,7,5.06
19,8.06,7.34,1,18,1,34,4.53,3,3.83
19,1.01,2.69,0,15,1,19,6.31,6,1.35
25,1.26,3.57,1,31,1,13,7.21,4,2.26
13,9.37,7.39,1,21,1,39,8.67,6,4.47
6,7.73,7.11,1,33,0,28,5.9,4,4.45
27,7.18,7.41,1,3,1,30,7.28,5,5.06
27,5.66,4.75,0,0,0,17,7.55,3,4.83
26,2.41,3.69,0,29,0,3,4.65,3,2.55
20,4.36,2.73,0,24,0,4,4.53,6,1.4
34,2.56,4.24,1,17,0,3,3.53,6,1.49
22,1.0,4.55,0,2,0,8,3.12,5,2.06
4,1.0,1.36,0,5,0,24,3.04,6,1.2
27,5.32,5.1,0,19,0,9,3.0,9,4.64
10,9.06,8.32,1,1,0,18,5.58,5,3.46
11,2.59,3.59,1,0,0,8,1.58,4,2.63
46,1.0,2.77,0,35,1,13,7.61,3,2.29
50,8.14,6.49,0,12,1,7,4.16,9,5.63
59,1.0,2.17,0,20,0,14,4.34,1,2.6
28,6.17,5.62,1,41,1,9,4.48,8,1.38
4,1.0,2.64,1,15,0,8,6.13,3,0.0
34,3.52,2.93,0,35,0,17,6.66,4,2.91
36,6.5,5.83,0,28,0,1,2.13,5,4.64
25,8.59,8.72,1,23,0,20,6.36,9,4.23
17,6.71,5.61,0,17,1,16,4.08,2,3.42
11,8.8,6.04,1,31,0,26,3.45,7,3.06
24,8.38,6.88,0,14,0,16,1.95,5,6.07
12,1.0,1.89,0,2,0,26,2.15,6,1.13
21,1.0,1.26,0,39,1,13,3.18,2,0.0
38,1.0,2.74,1,12,0,5,4.26,5,1.09
19,7.22,5.62,0,10,1,9,2.78,6,3.82
13,2.28,2.74,0,20,1,20,8.87,7,1.72
7,2.03,3.37,0,33,1,17,2.09,6,0.0
25,2.53,1.99,0,22,1,6,3.74,5,0.59
52,8.24,5.2,1,5,0,11,7.07,3,4.95
24,1.0,3.27,0,37,0,21,6.08,4,1.25
45,1.0,1.0,1,30,1,9,2.5,3,4.14
