gio_hoc_moi_tuan,diem_dau_vao,diem_trung_binh_truoc,tham_gia_ngoai_khoa,gio_giai_tri,lam_them,khoang_cach_den_truong,chat_luong_giac_ngu,so_lan_vang_mat,gpa
35.0,7.08,6.32,0,15.3,1,36.7,7.5,1,4.33
28.6,7.05,6.69,1,10.8,1,4.6,6.3,1,4.92
36.5,5.7,6.4,0,16.4,0,18.9,7.4,1,3.56
45.2,7.17,7.11,0,24.0,0,9.8,5.3,8,4.66
27.7,8.23,8.2,0,14.2,0,6.2,6.7,1,6.79
27.7,6.23,6.23,1,23.1,0,13.7,6.8,3,2.81
45.8,8.55,8.0,1,16.6,1,15.6,5.1,3,7.2
37.7,7.99,6.22,0,19.8,1,6.7,9.8,2,5.46
25.3,6.77,6.15,1,3.2,1,14.3,7.6,1,4.28
35.4,7.36,7.82,1,18.2,0,1.2,8.4,4,6.39
25.4,9.1,7.92,0,17.4,0,13.8,6.5,4,5.92
25.3,8.23,7.85,1,13.2,0,15.0,7.3,1,6.54
32.4,7.51,5.68,1,24.5,1,12.6,5.2,1,3.62
10.9,7.26,6.53,0,12.5,0,30.0,6.0,2,2.61
12.8,7.58,7.82,1,7.0,1,5.2,5.7,2,5.18
24.4,6.99,7.04,1,18.9,0,7.5,7.4,6,4.08
19.9,5.4,5.93,0,7.9,0,3.7,9.6,4,2.59
33.1,9.54,7.46,0,15.4,1,1.9,8.4,7,6.23
20.9,7.66,6.29,1,21.7,1,4.0,9.7,2,3.97
15.9,7.9,8.79,0,17.5,1,4.3,8.2,4,5.09
44.7,7.44,8.54,1,13.8,0,7.8,7.6,6,7.67
27.7,6.76,7.6,0,13.2,1,10.6,5.6,3,4.3
30.7,7.31,8.36,1,21.3,0,1.2,7.5,2,6.36
15.8,5.9,7.06,1,8.9,0,21.8,6.3,3,3.21
24.6,9.78,7.77,1,18.9,1,7.6,8.2,3,6.95
31.1,6.27,8.48,0,26.0,0,3.0,5.0,3,4.18
18.5,6.47,7.25,1,17.7,0,12.1,6.8,2,3.54
33.8,7.06,6.74,0,13.8,0,15.5,7.0,6,4.14
24.0,8.79,5.3,1,14.2,0,7.6,9.7,2,4.63
27.1,7.51,6.92,0,12.6,1,1.6,5.5,3,4.25
24.0,6.26,7.82,1,11.7,1,2.1,8.8,3,5.28
48.5,8.75,7.95,0,15.6,0,25.7,8.2,1,7.85
29.9,8.23,7.5,1,18.4,0,6.0,6.6,3,5.89
19.4,8.04,6.46,1,23.1,1,18.6,7.6,2,3.86
38.2,8.22,5.02,1,5.2,0,7.6,6.6,0,5.28
17.8,9.89,6.5,0,2.8,0,0.5,7.0,5,5.35
32.1,9.69,6.7,0,23.2,0,13.5,8.1,8,5.03
10.4,6.81,6.69,1,15.3,0,17.6,10.0,3,3.51
16.7,9.12,7.62,0,15.5,0,15.9,8.4,3,5.26
32.0,7.88,8.99,0,17.5,0,9.8,7.4,6,6.6
37.4,8.0,7.12,0,14.1,0,8.8,9.1,4,5.91
31.7,5.81,6.78,1,24.9,0,21.3,4.9,3,3.21
28.8,7.33,6.74,0,17.5,0,11.1,6.4,1,4.31
27.0,6.69,7.12,1,12.8,1,12.0,7.1,2,4.93
15.2,8.33,6.17,0,13.2,0,6.3,5.4,6,3.13
22.8,8.57,7.12,1,14.3,0,2.2,6.2,0,5.36
25.4,5.43,7.45,0,11.1,0,3.0,4.5,5,3.55
40.6,7.48,7.21,1,23.4,0,11.7,5.1,4,5.36
33.4,8.62,7.46,0,15.6,1,13.0,6.6,5,5.83
12.4,7.31,7.43,0,9.1,0,27.0,5.6,1,3.81
33.2,8.23,5.23,0,17.0,0,5.8,7.6,3,4.23
26.1,7.85,7.64,0,22.2,0,18.4,7.4,0,5.26
23.2,7.84,6.33,0,20.3,0,2.9,7.5,3,3.69
36.1,7.23,5.9,1,11.2,0,8.3,6.2,2,4.75
40.3,6.28,5.9,0,9.5,0,6.1,8.6,3,4.35
39.3,6.38,7.43,1,22.1,0,11.2,7.8,3,5.57
21.6,8.21,6.78,1,6.9,0,1.8,7.3,2,5.43
26.9,7.52,5.32,1,16.9,1,5.9,7.3,2,3.88
33.3,7.36,7.48,0,12.2,0,6.9,6.7,3,5.73
39.8,7.08,5.56,0,21.6,0,6.6,9.0,2,4.27
25.2,7.19,7.14,0,9.7,1,8.3,8.7,4,4.64
28.1,8.55,7.24,0,11.0,0,35.5,6.5,3,5.45
18.9,7.16,7.89,0,18.1,0,1.0,7.2,5,4.37
18.0,6.16,8.78,0,19.0,0,18.3,6.4,1,4.33
38.1,8.24,5.64,0,21.8,0,3.5,10.0,3,5.08
43.6,7.3,6.95,1,17.4,0,12.9,6.6,3,5.92
29.3,7.53,6.72,0,16.7,1,0.6,8.8,1,4.94
40.0,9.11,7.43,0,20.2,0,5.1,10.0,2,7.38
33.6,7.48,7.22,0,8.1,0,12.2,7.5,3,5.35
23.5,7.79,6.65,1,10.6,0,11.5,4.4,4,4.69
33.6,6.32,6.56,1,8.6,0,6.7,9.3,3,5.12
45.4,7.28,5.88,1,1.6,1,9.9,6.2,3,5.69
29.6,8.11,7.99,1,19.2,0,9.1,6.0,4,5.86
45.6,5.94,7.46,1,22.1,0,22.6,9.7,3,5.97
3.8,7.7,7.92,0,17.8,0,6.5,5.0,1,3.44
38.2,7.6,6.69,0,16.9,0,3.0,9.2,5,5.34
30.9,7.54,6.34,1,15.4,1,14.1,6.7,2,4.82
27.0,8.54,5.92,1,15.3,0,16.5,4.2,3,3.86
30.9,7.83,7.36,1,23.5,0,3.4,8.3,3,5.83
10.1,8.98,5.96,1,22.7,1,18.0,3.6,4,2.76
27.8,6.51,8.85,0,12.1,1,11.5,6.9,1,6.09
33.6,7.64,5.69,1,20.5,1,11.3,4.5,5,3.61
44.8,7.58,7.27,0,21.1,1,15.3,6.5,5,5.14
24.8,6.43,8.57,0,18.3,0,6.2,8.0,2,5.2
21.9,8.46,7.6,0,16.9,1,4.4,7.6,2,5.44
25.0,9.82,7.18,1,16.8,1,4.0,7.3,3,6.85
39.2,7.48,6.03,0,7.6,0,11.1,8.5,3,5.09
33.3,8.01,5.62,0,7.1,0,21.7,7.0,3,4.27
24.7,7.58,7.77,1,18.9,0,11.8,6.7,7,4.99
35.1,6.79,8.51,0,9.5,0,11.0,7.4,5,6.37
31.0,5.68,6.56,0,8.1,0,5.2,6.0,2,3.86
39.7,6.79,5.86,1,4.6,0,9.4,8.3,0,5.76
23.0,6.11,4.54,1,12.6,1,16.7,7.1,2,1.5
26.7,9.2,6.02,0,16.9,0,17.9,8.1,1,5.08
26.1,7.38,6.89,1,17.3,1,9.5,6.7,5,4.1
15.4,7.15,8.6,1,19.3,1,5.6,7.7,1,5.48
33.0,8.39,7.67,0,13.0,0,5.1,8.0,2,6.71
32.6,6.38,7.31,0,15.5,0,15.1,4.0,3,3.7
30.1,6.73,6.6,0,19.2,0,19.5,4.8,0,3.92
27.7,7.57,6.42,1,17.3,1,7.2,6.2,1,4.51
15.8,8.53,8.41,1,12.1,1,3.9,6.8,8,5.51
25.8,8.0,7.2,0,16.5,1,10.0,8.9,3,5.22
26.6,7.75,4.9,1,5.1,1,9.9,7.7,4,3.42
22.0,7.58,6.33,1,15.0,0,12.9,7.8,0,4.68
28.4,7.9,6.14,0,11.9,0,11.1,9.3,4,4.76
34.0,7.7,6.45,1,22.6,0,9.5,9.1,4,5.1
48.9,6.47,7.56,1,10.1,0,5.2,5.5,1,6.98
31.7,7.55,6.89,1,15.6,0,20.2,8.8,5,4.6
32.6,6.43,6.92,1,12.9,1,2.4,7.2,2,5.0
29.3,7.58,8.31,0,12.2,0,8.3,6.2,5,5.9
10.8,7.02,6.3,0,16.9,0,4.7,6.6,1,2.5
29.7,10.0,8.86,1,12.9,1,19.5,6.1,1,8.53
30.6,7.46,6.33,0,24.3,0,9.8,7.2,0,4.09
54.6,6.1,7.09,0,5.1,0,0.6,6.9,6,5.93
28.1,7.37,6.72,0,18.2,1,8.7,8.9,0,4.76
33.0,8.02,7.12,1,14.6,0,7.6,9.9,2,6.71
29.7,9.17,7.44,0,14.7,0,16.1,6.4,5,6.22
18.3,6.91,7.43,0,16.5,1,9.0,5.1,4,3.37
41.4,5.92,6.25,1,20.0,0,11.4,8.0,2,4.26
37.5,8.32,5.88,0,16.3,1,32.7,8.4,2,4.67
37.9,6.12,9.5,1,20.0,1,23.0,7.6,0,7.12
20.9,7.06,6.52,0,15.2,0,8.1,4.7,0,3.17
44.0,7.24,7.7,0,9.8,0,14.3,5.8,2,6.92
16.0,7.43,5.39,0,14.6,1,4.7,7.2,3,2.51
35.9,8.19,6.72,1,20.8,1,9.9,6.1,1,5.65
51.9,6.82,6.87,1,12.9,1,9.1,5.5,5,6.14
20.1,7.23,7.47,1,9.6,0,3.1,10.0,5,5.39
24.3,7.49,4.28,0,18.1,0,7.9,5.5,2,1.7
31.0,7.65,7.17,1,16.7,0,7.9,8.8,4,5.58
25.0,7.6,5.85,0,11.1,0,8.4,7.6,3,3.87
14.5,7.94,7.32,0,13.8,1,6.8,7.9,2,4.32
30.7,8.34,5.96,1,14.1,0,6.3,8.7,4,5.09
19.4,7.89,6.14,0,15.0,0,19.7,6.0,3,3.25
34.7,7.95,6.73,1,18.2,0,12.2,6.6,2,5.55
20.8,5.92,5.95,0,13.0,0,9.4,7.7,3,2.52
45.5,7.55,6.52,0,18.5,0,4.5,4.2,4,4.9
22.2,7.98,5.81,1,12.3,0,17.5,9.5,3,4.33
26.8,8.23,5.17,0,23.3,0,19.6,7.2,3,2.84
38.1,6.81,8.02,0,23.4,1,1.2,5.6,2,5.13
17.7,6.84,5.7,0,10.7,0,1.0,8.6,3,3.25
32.3,6.93,6.82,0,8.9,1,6.1,7.1,2,4.88
43.1,8.04,7.75,1,19.9,0,7.1,5.9,1,7.16
13.9,8.53,6.39,1,16.3,0,3.8,8.4,3,4.36
31.8,7.09,6.17,1,17.8,0,3.9,3.5,6,3.18
32.6,8.41,7.23,0,11.7,1,0.5,7.6,1,6.8
37.8,7.62,8.12,0,14.3,1,21.2,9.0,4,6.24
17.6,7.38,5.83,1,13.3,0,7.4,5.8,4,2.94
16.8,7.29,6.85,0,16.5,0,10.7,5.1,2,3.09
35.2,8.25,5.27,0,8.8,0,9.1,7.6,4,4.83
33.0,7.83,6.61,1,14.5,1,4.4,6.0,3,4.98
32.5,9.78,7.03,0,8.7,1,6.9,10.0,2,7.52
33.5,6.65,6.15,1,12.4,0,25.1,6.2,2,3.79
23.2,8.02,6.54,0,14.5,0,4.7,6.7,3,4.34
32.3,6.97,5.59,1,17.5,0,5.9,7.8,6,3.7
32.9,6.63,7.08,0,18.0,1,12.3,4.3,5,3.67
22.9,7.49,8.06,1,18.8,0,1.1,7.1,2,5.27
48.7,7.64,5.9,0,7.6,0,7.7,8.7,3,5.88
34.7,10.0,6.38,1,21.3,0,5.8,6.9,2,6.42
18.1,7.32,7.5,0,11.8,0,5.6,5.3,2,4.48
36.6,6.37,8.21,1,12.1,1,2.4,6.3,3,5.96
20.3,7.77,5.51,1,16.3,0,4.0,4.1,4,2.56
37.9,5.43,6.83,0,13.3,0,7.1,6.6,3,3.88
41.6,7.41,7.28,0,16.8,1,3.2,8.7,1,6.1
21.8,7.52,6.9,1,17.7,0,6.3,6.1,5,4.09
39.6,8.29,4.52,0,11.2,0,6.7,8.0,5,3.87
34.1,8.47,7.5,1,14.1,1,2.8,4.8,0,6.99
38.2,7.0,8.52,0,14.2,0,8.5,9.8,3,7.0
49.0,7.35,7.12,1,19.8,0,8.9,8.7,6,6.23
27.5,6.73,5.97,0,12.7,0,5.7,6.3,4,2.78
22.5,6.37,6.49,1,12.5,1,9.5,5.0,5,2.42
21.1,7.81,8.77,0,9.9,0,17.4,6.2,3,6.36
21.8,6.23,7.91,0,10.5,1,4.5,7.4,5,4.38
29.2,7.09,7.64,0,8.2,0,6.6,8.6,4,5.64
33.4,6.5,7.36,1,11.5,0,11.9,3.8,7,4.29
32.8,8.05,6.34,0,23.0,1,21.6,8.8,5,3.82
38.3,9.3,6.8,0,18.5,0,4.9,7.4,2,6.41
30.1,6.2,6.92,1,21.4,0,7.7,5.3,6,3.08
44.5,5.65,7.55,0,10.2,0,1.3,3.2,5,4.64
27.4,7.38,8.51,1,5.3,0,12.8,7.2,2,6.77
57.2,7.52,8.12,1,16.6,0,13.6,7.3,4,8.21
36.3,7.72,5.58,1,24.3,0,8.0,6.1,2,3.96
21.4,7.05,7.22,0,12.6,0,2.2,8.4,4,4.16
19.3,7.3,7.74,1,15.5,0,25.7,10.0,4,5.09
34.8,7.87,7.62,0,7.2,0,10.0,6.4,6,5.95
27.8,8.54,6.37,1,15.1,1,10.9,5.9,5,4.71
37.1,5.54,9.91,0,14.4,0,14.3,9.6,1,7.82
34.7,7.13,5.72,0,4.5,0,17.3,6.7,5,4.49
29.3,7.71,5.92,0,9.8,0,2.7,8.0,4,4.12
21.5,6.58,7.23,1,9.4,0,12.0,6.1,5,3.99
14.9,9.23,9.12,1,7.1,0,2.4,8.7,4,7.57
25.5,6.86,6.16,0,11.4,0,11.9,5.1,0,3.02
38.6,7.46,6.73,1,17.5,0,11.7,7.2,3,5.65
32.1,8.06,8.08,0,11.8,0,9.0,7.4,3,6.75
17.5,6.91,6.98,1,20.7,1,7.9,6.7,4,3.08
31.7,5.65,6.67,1,13.2,0,2.3,6.0,1,4.36
33.9,7.07,7.57,1,16.6,1,20.9,9.7,2,6.07
21.2,8.53,7.27,0,17.5,0,40.3,8.2,1,5.23
31.5,7.16,8.03,0,22.7,0,32.5,5.7,4,4.71
30.6,6.65,8.29,1,11.4,0,14.6,4.2,2,5.58
18.6,8.43,7.31,0,17.2,0,8.3,9.2,6,4.92
33.6,7.17,7.29,0,10.3,0,15.1,5.6,4,5.08
35.6,6.99,7.21,1,23.6,1,14.0,7.1,5,4.6
40.8,7.65,7.49,1,9.8,0,5.8,7.1,0,7.46
40.5,8.27,7.06,0,16.9,0,3.1,7.4,1,6.46
16.2,9.88,7.0,0,22.8,0,4.8,4.5,4,4.29
20.6,8.33,8.2,0,9.0,0,2.9,6.5,4,5.65
35.2,8.66,8.52,1,18.0,0,5.4,7.0,1,8.26
35.1,6.99,5.49,1,10.0,0,27.5,6.9,4,3.72
35.2,6.47,7.01,1,26.6,0,9.4,8.1,5,3.91
68.5,7.56,6.31,1,5.5,1,13.2,7.2,5,8.04
35.7,7.61,6.69,1,7.4,0,26.3,7.7,4,5.78
41.4,6.42,7.4,0,9.4,1,6.9,6.1,3,4.97
39.5,7.32,7.67,0,9.6,0,11.3,9.6,1,7.25
36.5,7.9,6.89,1,17.6,0,15.7,6.6,4,5.62
26.8,7.86,5.09,0,24.0,0,0.6,7.5,4,2.88
37.6,8.0,6.03,1,20.8,0,9.6,7.2,5,4.8
22.3,7.79,7.9,1,16.2,0,7.0,7.7,2,5.91
27.6,6.99,4.26,1,15.0,0,7.5,8.8,1,2.86
25.1,6.99,8.19,0,12.0,0,4.1,5.7,1,5.41
30.8,6.3,7.52,1,17.0,0,0.8,8.2,1,5.57
53.1,9.28,8.32,1,14.0,1,20.3,8.1,2,9.51
11.3,7.51,6.8,1,15.9,0,5.0,7.3,4,3.24
36.9,7.28,4.94,0,11.3,0,8.4,7.3,4,3.31
13.9,6.57,7.43,1,9.0,1,6.4,5.3,5,3.41
25.3,10.0,8.27,1,15.1,0,10.6,6.5,0,7.5
40.9,6.43,7.92,0,15.0,0,8.8,4.1,3,5.27
30.6,7.07,6.34,0,12.0,0,26.4,6.5,5,3.7
